RT_measure_loop.thisRepN,RT_measure_loop.thisTrialN,RT_measure_loop.thisN,RT_measure_loop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,colour,location,corr_button,thisRow.t,notes,RT_measure_start.started,RT_measure_start_text.started,RT_startscreen_press.started,RT_measure_start.stopped,RT_startscreen_press.keys,RT_startscreen_press.rt,RT_startscreen_press.duration,RT_measure_fixation.started,rt_measure_fixation.started,rt_measure_fixation.stopped,RT_measure_fixation.stopped,RT_measure_target.started,RT_target_fig.started,RT_measure_response.started,RT_measure_target.stopped,RT_measure_response.keys,RT_measure_response.rt,RT_measure_response.duration,rt_list,RT_measure_end.started,RT_measure_endtext.started,RT_measure_endtext.stopped,RT_measure_end.stopped,StartScreen_training.started,StartScreen_ButtonPress_training.started,StartScreen_text_training.started,StartScreen_training.stopped,StartScreen_ButtonPress_training.keys,StartScreen_ButtonPress_training.rt,StartScreen_ButtonPress_training.duration,initial_iti_training.started,initial_iti_fig_training.started,initial_iti_fig_training.stopped,initial_iti_training.stopped,CuePresentation_training.started,CueCircle_training.started,EarlyPressCue_training.started,CuePresentation_training.stopped,EarlyPressCue_training.keys,Fixation2000_training.started,Fixation2000_fig_training.started,EarlyPressFixation_training.started,Fixation2000_training.stopped,EarlyPressFixation_training.keys,EarlyPressFixation_training.rt,EarlyPressFixation_training.duration,TargetPresentation_training.started,full_target_time,TargetPresentation_fig_training.started,ButtonPressTarget_training.started,TargetPresentation_training.stopped,ButtonPressTarget_training.keys,ButtonPressTarget_training.corr,ButtonPressTarget_training.rt,ButtonPressTarget_training.duration,outcome_label_training,FeedbackCode_training.started,text_Feedback_training.started,text_treatCounter_training.started,text_Feedback_training.stopped,text_treatCounter_training.stopped,FeedbackCode_training.stopped,ITI500_training.started,trial_ITI_training.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.0025233000051230192,0.016535200062207878,0.016535200062207878,0.5199310999596491,right,0.5010527999838814,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401844test,001,2024-04-25_09h14.52.745,MID_python,2023.2.3,59.82303148395906,2024-04-25 09h14.57.147197 +0200,
0,0,0,0,,,,,,,,0.5339883000124246,,,,,,,,,0.521541399997659,0.5339883000124246,2.0341052999719977,2.017352499999106,2.0173680000007153,2.0341052999719977,2.0341052999719977,2.2856424000347033,right,0.23981309996452183,None,[0.23981309996452183],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401844test,001,2024-04-25_09h14.52.745,MID_python,2023.2.3,59.82303148395906,2024-04-25 09h14.57.147197 +0200,
1,0,1,0,,,,,,,,2.3013333999551833,,,,,,,,,2.2868054000427946,2.3013333999551833,3.8011538999853656,3.7849701000377536,3.7849908999633044,3.8011538999853656,3.8011538999853656,4.152409799979068,right,0.3460862999781966,None,"[0.23981309996452183, 0.3460862999781966]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401844test,001,2024-04-25_09h14.52.745,MID_python,2023.2.3,59.82303148395906,2024-04-25 09h14.57.147197 +0200,
2,0,2,0,,,,,,,,4.167419699952006,,,,,,,,,4.153335000039078,4.167419699952006,5.66766659996938,5.651935699977912,5.651967399986461,5.66766659996938,5.66766659996938,5.935660299961455,right,0.2626673999475315,None,"[0.23981309996452183, 0.3460862999781966, 0.2626673999475315]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401844test,001,2024-04-25_09h14.52.745,MID_python,2023.2.3,59.82303148395906,2024-04-25 09h14.57.147197 +0200,
3,0,3,0,,,,,,,,5.951049200026318,,,,,,,,,5.936551499995403,5.951049200026318,7.450871699955314,7.435042000026442,7.435064799967222,7.450871699955314,7.450871699955314,7.685560700017959,right,0.225103999953717,None,"[0.23981309996452183, 0.3460862999781966, 0.2626673999475315, 0.225103999953717]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401844test,001,2024-04-25_09h14.52.745,MID_python,2023.2.3,59.82303148395906,2024-04-25 09h14.57.147197 +0200,
4,0,4,0,,,,,,,,7.700422000023536,,,,,,,,,7.686424199957401,7.700422000023536,9.200821500038728,9.185665299999528,9.185701700043865,9.200821500038728,9.200821500038728,9.419840099988505,right,0.2160535000730306,None,"[0.23981309996452183, 0.3460862999781966, 0.2626673999475315, 0.225103999953717, 0.2160535000730306]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401844test,001,2024-04-25_09h14.52.745,MID_python,2023.2.3,59.82303148395906,2024-04-25 09h14.57.147197 +0200,
5,0,5,0,,,,,,,,9.434077400015667,,,,,,,,,9.420645100064576,9.434077400015667,10.934258499997668,10.91820449999068,10.918225700035691,10.934258499997668,10.934258499997668,11.152105499990284,right,0.2106025000102818,None,"[0.23981309996452183, 0.3460862999781966, 0.2626673999475315, 0.225103999953717, 0.2160535000730306, 0.2106025000102818]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401844test,001,2024-04-25_09h14.52.745,MID_python,2023.2.3,59.82303148395906,2024-04-25 09h14.57.147197 +0200,
6,0,6,0,,,,,,,,11.167202300042845,,,,,,,,,11.153035299968906,11.167202300042845,12.667264400050044,12.651447299984284,12.651473399950191,12.667264400050044,12.667264400050044,12.902202200028114,right,0.22943000006489456,None,"[0.23981309996452183, 0.3460862999781966, 0.2626673999475315, 0.225103999953717, 0.2160535000730306, 0.2106025000102818, 0.22943000006489456]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401844test,001,2024-04-25_09h14.52.745,MID_python,2023.2.3,59.82303148395906,2024-04-25 09h14.57.147197 +0200,
7,0,7,0,,,,,,,,12.9169922999572,,,,,,,,,12.903430999955162,12.9169922999572,14.4176006000489,14.401692899991758,14.401715700048953,14.4176006000489,14.4176006000489,14.652555700042285,right,0.22912929998710752,None,"[0.23981309996452183, 0.3460862999781966, 0.2626673999475315, 0.225103999953717, 0.2160535000730306, 0.2106025000102818, 0.22943000006489456, 0.22912929998710752]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401844test,001,2024-04-25_09h14.52.745,MID_python,2023.2.3,59.82303148395906,2024-04-25 09h14.57.147197 +0200,
8,0,8,0,,,,,,,,14.667214300017804,,,,,,,,,14.653402999974787,14.667214300017804,16.16756189998705,16.151729100034572,16.151753699989058,16.16756189998705,16.16756189998705,16.352318600052968,right,0.16754689998924732,None,"[0.23981309996452183, 0.3460862999781966, 0.2626673999475315, 0.225103999953717, 0.2160535000730306, 0.2106025000102818, 0.22943000006489456, 0.22912929998710752, 0.16754689998924732]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401844test,001,2024-04-25_09h14.52.745,MID_python,2023.2.3,59.82303148395906,2024-04-25 09h14.57.147197 +0200,
